id,osm_id,name,type,other_tags
"46","2095894",872路：长陵 -> 马甸桥南,route,"""fee""=>""yes"",""from""=>""长陵"",""name:zh""=>""872路：长陵 -> 马甸桥南"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""opening_hour"
"47","2095920",889路：地铁北土城站 -> 昌平何营,route,"""fee""=>""yes"",""from""=>""地铁北土城站"",""name:zh""=>""889路：地铁北土城站 -> 昌平何营"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北"
"48","2095924",345路快车：德胜门西 -> 朝凤庵村,route,"""fee""=>""yes"",""from""=>""德胜门西"",""name:zh""=>""345路快车：德胜门西 -> 朝凤庵村"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公"
"49","2095930",883路：德胜门西 -> 南口西站,route,"""fee""=>""yes"",""from""=>""德胜门西"",""name:zh""=>""883路：德胜门西 -> 南口西站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"","""
"50","2095955",886路：德胜门西 -> 北京蟒山森林公园,route,"""fee""=>""yes"",""from""=>""德胜门西"",""name:zh""=>""886路：德胜门西 -> 北京蟒山森林公园"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北"
"51","2110982",886路：北京蟒山森林公园 -> 德胜门西,route,"""fee""=>""yes"",""from""=>""北京蟒山森林公园"",""name:zh""=>""886路：北京蟒山森林公园 -> 德胜门西"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""netwo"
"52","2142621",26路：二里庄 -> 红莲南里,route,"""fee""=>""yes"",""from""=>""二里庄"",""name:zh""=>""26路：二里庄 -> 红莲南里"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""opening"
"53","2156308",484路：北苑家园 -> 北医三院,route,"""fee""=>""yes"",""from""=>""北苑家园"",""name:zh""=>""484路：北苑家园 -> 北医三院"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"","""
"54","2162585",518路：慧忠里 -> 西山林语公交场站,route,"""fee""=>""yes"",""from""=>""慧忠里"",""name:zh""=>""518路：慧忠里 -> 西山林语公交场站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公"
"55","2162612",518路：西山林语公交场站 -> 慧忠里,route,"""fee""=>""yes"",""from""=>""西山林语公交场站"",""name:zh""=>""518路：西山林语公交场站 -> 慧忠里"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:"
"56","2178067",135路：二里庄 -> 康家沟,route,"""fee""=>""yes"",""from""=>""二里庄"",""name:zh""=>""135路：二里庄 -> 康家沟"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""opening_h"
"57","2185838",609路：金庄 -> 西三旗,route,"""fee""=>""yes"",""from""=>""金庄"",""name:zh""=>""609路：金庄 -> 西三旗"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""opening_hours""="
"58","2200256",425路：小营公交场站 -> 南坞,route,"""fee""=>""yes"",""from""=>""小营公交场站"",""name:zh""=>""425路：小营公交场站 -> 南坞"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公"
"59","2252372",425路：南坞 -> 小营公交场站,route,"""fee""=>""yes"",""from""=>""南坞"",""name:zh""=>""425路：南坞 -> 小营公交场站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""openin"
"60","2296659",345路快车：朝凤庵村 -> 德胜门西,route,"""fee""=>""yes"",""from""=>""朝凤庵村"",""name:zh""=>""345路快车：朝凤庵村 -> 德胜门西"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公"
"61","2296748",885路：昌平何营 -> 德胜门西,route,"""fee""=>""yes"",""from""=>""昌平何营"",""name:zh""=>""885路：昌平何营 -> 德胜门西"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"","""
"62","3156087",632路：学府树公交场站 -> 五路,route,"""fee""=>""yes"",""from""=>""学府树公交场站"",""name:zh""=>""632路：学府树公交场站 -> 五路"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北"
"63","3156088",632路：五路 -> 学府树公交场站,route,"""fee""=>""yes"",""from""=>""五路"",""name:zh""=>""632路：五路 -> 学府树公交场站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""ope"
"64","3156260",328路：和平东桥 -> 龙泉驾校公交场站,route,"""fee""=>""yes"",""from""=>""和平东桥"",""name:zh""=>""328路：和平东桥 -> 龙泉驾校公交场站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北"
"65","3156261",328路：龙泉驾校公交场站 -> 和平东桥,route,"""fee""=>""yes"",""from""=>""龙泉驾校公交场站"",""name:zh""=>""328路：龙泉驾校公交场站 -> 和平东桥"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""netwo"
"66","3391366",919路快车：京张路口北 -> 德胜门西,route,"""fee""=>""yes"",""from""=>""京张路口北"",""name:zh""=>""919路快车：京张路口北 -> 德胜门西"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北"
"67","3391367",919路快车：德胜门西 -> 京张路口北,route,"""fee""=>""yes"",""from""=>""德胜门西"",""name:zh""=>""919路快车：德胜门西 -> 京张路口北"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京"
"68","3433770",919路：体育场小区 -> 地铁北土城站,route,"""fee""=>""yes"",""from""=>""体育场小区"",""name:zh""=>""919路：体育场小区 -> 地铁北土城站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北"
"69","3433771",919路：地铁北土城站 -> 体育场小区,route,"""fee""=>""yes"",""from""=>""地铁北土城站"",""name:zh""=>""919路：地铁北土城站 -> 体育场小区"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>"""
"70","3450157",345路：德胜门西 -> 昌平北站,route,"""fee""=>""yes"",""from""=>""德胜门西"",""name:zh""=>""345路：德胜门西 -> 昌平北站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"","""
"71","3450158",670路：德胜门西 -> 百善公交场站,route,"""fee""=>""yes"",""from""=>""德胜门西"",""name:zh""=>""670路：德胜门西 -> 百善公交场站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公"
"72","13946657",606路：大钟寺 -> 地铁霍营站南,route,"""fee""=>""yes"",""from""=>""大钟寺"",""name:zh""=>""606路：大钟寺 -> 地铁霍营站南"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"","""
"73","13946658",606路：地铁霍营站南 -> 大钟寺,route,"""fee""=>""yes"",""from""=>""地铁霍营站南"",""name:zh""=>""606路：地铁霍营站南 -> 大钟寺"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京"
"74","14188129",315路：新都东站 -> 大钟寺,route,"""fee""=>""yes"",""from""=>""新都东站"",""name:zh""=>""315路：新都东站 -> 大钟寺"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""ope"
"75","14188130",315路：大钟寺 -> 新都东站,route,"""fee""=>""yes"",""from""=>""大钟寺"",""name:zh""=>""315路：大钟寺 -> 新都东站"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""openin"
"76","15908502",577路：东北旺中路 -> 二里庄,route,"""fee""=>""yes"",""from""=>""东北旺中路"",""name:zh""=>""577路：东北旺中路 -> 二里庄"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"
"77","15908503",577路：二里庄 -> 东北旺中路,route,"""fee""=>""yes"",""from""=>""二里庄"",""name:zh""=>""577路：二里庄 -> 东北旺中路"",""network""=>""北京公交"",""network:en""=>""Beijing Public Transport"",""network:wikidata""=>""Q4881181"",""network:wikipedia""=>""zh:北京公交"",""network:zh""=>""北京公交"",""ope"
